tfcwkerMvmnCnterNm,rdnmadr,lnmadr,latitude,longitude,carHoldCo,carHoldKnd,slopeVhcleCo,liftVhcleCo,rceptPhoneNumber,rceptItnadr,appSvcNm,weekdayRceptOpenHhmm,weekdayRceptColseHhmm,wkendRceptOpenHhmm,wkendRceptCloseHhmm,weekdayOperOpenHhmm,weekdayOperColseHhmm,wkendOperOpenHhmm,wkendOperCloseHhmm,beffatResvePd,useLmtt,insideOpratArea,outsideOpratArea,useTrget,useCharge,institutionNm,phoneNumber,referenceDate,insttCode,insttNm
태안군 교통약자 이동지원센터,충청남도 태안군 태안읍 후곡로 83,,36.74591186,126.3018915,4,카니발,4,1,1644-5588,해당없음,,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,2일(관외),중증환자,태안군,태안군 외 지역,보행상 장애인(장애인복지법상 정도가 심한 장애인)+65세 이상 대중교통 이용이 어려운 사람+임산부 및 영유아 동반자,관내지역(태안) 기본요금 2km까지 1500원+추가거리요금 1km당 150원+운임상한액 태안군 농어촌버스 요금 2배 이하(3000원)+관외지역(태안외) 기본요금 도착지 시외버스 요금+거리요금 1km당 260원+관외지역 요금은 시외버스 요금의 두배를 넘지 않음+차량 대기 필요시 대기료 30분당 2000원,충청남도 태안군,041-670-2719,2024-08-26,4620000,충청남도 태안군
강원특별자치도교통약자광역이동지원센터,강원특별자치도 춘천시 중앙로1,강원특별자치도 춘천시 봉의동 15,37.88007265,127.7279085,8,카니발,8,8,1577-2014,http://call.gwd.go.kr/main.do,,09:00,18:00,09:00,18:00,09:00,18:00,00:00,00:00,6~7일,관외는 병원목적,강원특별자치도 태백시,강원특별자치도,1. 「장애인복지법 시행규칙」제2조제1항에 따라 제1급 또는 제2급 장애인으로서 버스 등의 이용이 어려운 자 <개정 2013.07.05>2. 65세 이상의 자로서 버스 등의 이용이 어려운 자3. 일시적으로 휠체어를 이용하는 자로서 버스 등의 이용이 어려운 자4. 제1호부터 제3호까지 해당하는 교통약자를 동반하는 가족 및 보호자5. 그 밖에 특별교통수단이 필요하다고 인정되는 사람,1. 관내요금은 「여객자동차 운수사업법 시행령」제3조제2호다목에 따른 일반택시요금의 100분의 50에 해당하는 금액 이하로 한다.2. 관외요금은 해당구간의 시외버스요금의 2배를 초과할 수 없다.,강원특별자치도 태백시청,033-553-1112,2024-08-23,4221000,강원특별자치도 태백시
보은군장애인생활이동지원센터,충청북도 보은군 보은읍 뱃들로 68-38,충청북도 보은군 보은읍 이평리 105-2,36.4886825,127.7234966,2,카니발,0,0,1533-0220,충청북도광역이동지원센터 (essetel.co.kr),충청북도광역이동지원센터,09:00,18:00,00:00,00:00,09:00,18:00,00:00,00:00,3일전,없음,보은군 전지역,청주+대전,등록된 장애인,10km당 1000원,충청북도 (사)충북시각장애인복지연합회보은군지회,043-543-2705,2024-07-01,4420000,충청북도 보은군
평택시 교통약자이동지원센터,경기도 평택시 도일유통길 25 평택도시공사 3층,경기도 평택시 도일동 1169-5,37.038605,127.100693,55,카니발,55,0,031-651-4700,http://ggsts.gg.go.kr,경기도광역이동지원시스템,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,이용 1일 전,"『경기도 특별교통수단 광역이동서비스 표준지침』제17조(이용 제한) ① 이용자가 다음 각호의 어느 하나를 누적 위반 시 광 역 및 시군센터간 협의를 통해 7일간 차량 이용을 제한 할 수 있다. 1. 장애인등록증 미소지자나 유효기간 경과자 2. 운전원의 정당한 본인확인 요구를 거부하거나, 신청인 본인이 아닌 다른 사람에게 차량을 양도하는 경우 3. 중증 환자가 보호자 없이 탑승하거나, 사고 발생 가능성이 있는 경우 4. 2열 보호자석(1개 좌석) ",평택시 전지역,서울+경기+인천+인접지역(천안+아산),「교통약자의 이동편의 증진법 시행규칙」제6조제1항에 따른 중증보행장애인+대중교통을 이용하기 어려워 휠체어 이용이 필요하다는 내용이 명시된 의학적 진단서(의료법 제3조에 따른 종합병원급 이상에서 발급)를 제출한 휠체어 이용자,기본요금 10km까지 1500원+추가 5km당 100원+고속도로(유료도로) 통행료 무료+유료주차요금 이용자 부담,평택도시공사,031-8053-1552,2025-02-21,3910000,경기도 평택시
용인시교통약자이동지원센터,경기도 용인시 처인구 동백죽전대로 61,경기도 용인시 처인구 삼가동 42-1,37.24963097,127.165158,76,카니발,76,0,1666-0420,https://ggsts.gg.go.kr/,,07:00,22:00,07:00,22:00,00:00,23:59,00:00,23:59,없음,,용인전역,수도권,○특별교통수단 대상자+1. 교통약자이동편의 증진법 시행규칙 제6조 제1항에 따른 중증 보행 장애인으로 별표1에 따른 이용자+2. 대중교통을 이용하기 어려워 휠체어 이용이 필요하다는 내용이 명시된 의학적 진단서 (의료 법 제3조에 따른 종합병원 급 이상에서 발급)를 제출한 휠체어 이용자+○대체수단(바우처택시) 이용대상자+1. 보행상장애가 있는 심한 장애인중 휠체어를 이용하지 않는 사람+2. 이동에 심한 불편을 느끼는 교통약자로서 대체수단이 필요하다고 인정하는 사람+3. 임산부 임신확인서 기준으로 임신 확인일 ~ 출산 후 6개월까지 이용 가능,"교통약자 특별교통수단(운영범위: 서울특별시, 인천광역시, 경기도 전역) 기본요금 1500원/10Km(추가 거리할증 100원/5Km)+교통약자 콜택시 1500원(운행거리 상관없음)",용인도시공사,031-330-3900,2025-04-09,B552739,용인도시공사
예천군장애인이동지원센터,경상북도 예천군 예천읍 대심1길 22,경상북도 예천군 예천읍 대심리 424-4,36.649653,128.441283,7,그랜드카니발 저상슬로프 차량,7,0,054-652-7179,해당없음,,09:00,18:00,00:00,00:00,00:00,23:59,00:00,23:59,24시간전,특별한 제한없음,예천군 관내 전지역,대구광역시+경상권 전지역+단양군,지체(하지)+뇌병변+신장+시각장애인+임산부+보호자 등,기본료 5km까지 1200원+5km초과시 200원/km+톨게이트비+주차료 본인부담,경상북도 예천군,054-650-6257,2025-12-09,5230000,경상북도 예천군
정읍시 행복콜택시,전북특별자치도 정읍시 수성5로 41-11,전북특별자치도 정읍시 수성동 1013-7,35.58500364,126.8606847,12,그랜드스타렉스+카니발+창림저상램프장애인차,11,1,063-536-9870,해당없음,,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,제한없음,습관적으로 예약을 취소한 사람 등,전북특별자치도 정읍시,전북특별자치도+장성군+광주광역시,1~2급 장애인+3급 휠체어이용자,(2km이내)1400원+(148m 또는 35초당)30원+시계외 할증20,전북특별자치도 정읍시,063-539-5922,2025-12-09,4691000,전북특별자치도 정읍시
단양군교통약자이동지원센터,충청북도 단양군 단양읍 별곡3로 19,,36.98741705,128.3650489,3,오텍그랜드스타렉스 + 창림카니발슬로프장애인차,3,0,043-421-1005,해당없음,,09:00,18:00,00:00,00:00,09:00,18:00,09:00,13:00,1일 전,해당없음,단양군 전체,병원 이용시 제천+원주 등 관외 운행,만65세이상 고령자+장애의 정도가 심한 장애인+혼자서 외출과 이동이 곤란하다고 인정되는 자+교통약자를 동반하는 가족 및 보호자,(관내 기본거리 5km까지)1500원+(30km까지 추가)1km당 300원+(30km이후)추가 1km당 600원,충청북도 단양군청,043-420-2492,2025-12-03,4480000,충청북도 단양군
단양군장애인단체연합회,충청북도 단양군 단양읍 별곡5길5 (3층),,36.98530043,128.3686533,1,스타렉스,0,1,043-423-1776,해당없음,,09:00,18:00,00:00,00:00,09:00,18:00,00:00,00:00,시내 1일전+시외 1주일 전,복지카드미소지자+출발도착지 단양군아닌경우+장애인이 아닌경우+2회 요금미납자,단양군 전체,전지역,단양군내 거주하는 등록장애인,"(관내 기본거리 10km)1500원+(관내10km초과 시)10km 당 1500원+(관외 기본거리 30km)4500원,+(관외30km 초과 시)1km당 600원+(1일 임대 8시간)90000원+대기료(40분 무료, 20분당 1500원)+주차 이용자부담+톨비 이용자부담",충청북도 단양군청,043-420-2153,2025-12-03,4480000,충청북도 단양군
제천시 특별교통수단 및 이동지원센터,충청북도 제천시 내토로73길 22,충청북도 제천시 고암동 145-13,37.1715303900,128.242348,19,카니발+스타렉스,18,0,1533-0220,해당없음,충청북도광역이동지원센터,07:00,22:00,07:00,22:00,08:00,22:00,08:00,22:00,관내 : 예약불가관외 : 이용일 3일 전,보호자 동반(고령휠체어이용자 등 자력으로 이동 어려울 시),관내 전체,충북도내+원주+영월+서울(병원만),장애정도가 심한 장애인 +65세 이상 휠체어 이용자 등,"관내 : 기본요금(1,500원/5km), 추가요금(100원/1km),최대 3,000원관외: 시외버스 요금의 2배",사)충북지체장애인협회 제천시지회,043-644-0860,2024-11-18,4400000,충청북도 제천시
포항시교통약자이동지원센터,경상북도 포항시 남구 희망대로 810 포항종합운동장 167호,경상북도 포항시 남구 대도동 313-1번지 167호,36.008952,129.363876,38,카니발,33,0,1800-9300,http://phhpcall.phsisul.org/,동행콜,07:00,22:00,08:00,20:00,00:00,23:59,08:00,20:00,5일,,포항시,경상북도+대구광역시,장애정도가 심한 장애인으로서 대중교통 이용이 어려운 사람+65세 이상으로 대중교통 이용이 어려운 사람+일시적으로 휠체어를 이용하는 사람으로서 대중교통 이용이 어려운 사람,관내(포항시내) 기본 5km 1+100원+ 추가요금 200원/km+ 한도 5+000원+관외(포항시외) 시외버스 요금의 2배(편도기준)+대기료 500원/30분(관외 병원진료 기본대기 2시간 허용)+유료도로비용 및 주차요금은 이용자 부담,포항시청 포항시시설관리공단,054-280-9601,2024-09-06,5020000,경상북도 포항시
한국교통장애인협회 영주시지회,"경상북도 영주시 광복로46번길 15, 1층",경상북도 영주시 영주동 32-15,36.8270932,128.6235929,12,카니발+스타리아,12,0,054-638-0112,http://www.brmcall.co.kr,없음,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,관내 3일+관외 14일,관외운행은 병원이용에 한함,영주시 전지역,경상북도+대구광역시+영월군+단양군+원주시,장애의 정도가 심한 장애인+65세 이상 고령자+사고 질병 등 일시적 장애로 휠체어를 이용하는 사람 및 보호자+임산부 및 영유아를 동반한 자,관내 10km까지 1000원(10km 초과 시 5km당 1000원 추가)+도내지역 5시간 이내 30000원+도내지역 5시간 이상 50000원+도외지역 5시간 이내 50000원+도외지역 5시간 이상 100000원,경상북도 영주시청,054-639-6824,2025-07-07,5090000,경상북도 영주시
의정부도시공사 이동지원센터,경기도 의정부시 체육로 90,경기도 의정부시 녹양동 174-1,37.75793498,127.0316068,45,카니발,45,0,1666-0420,https://ggsts.gg.go.kr/,경기도광역이동지원시스템(즉시콜),07:00,22:00,07:00,22:00,00:00,23:59,00:00,23:59,1일전,,의정부시 전지역,수도권 전지역,"특별교통수단: 중증보행장애인, 대중교통 이용이 어려워 휠체어 이용이 필요하다는 내용이 명시된 의학적 진단서(종합병원급) 제출자 / 대체수단: 대중교통 이용이 어렵다는 의학적 진단서(종합병원급)를 제출한 자로 휠체어를 이용하지 않는 자, 상이등급 1급 · 2급 + 장애인 등급제 개편전 1급 · 2급 장애인 중 의정부시 이동지원센터에 등록한 자",10km이내 : 1500원+10km초과 5km당 100원,경기도 의정부시청,031-828-4783,2025-06-30,3820000,경기도 의정부시
안동시시설관리공단교통약자이동지원센터,"경상북도 안동시 운동장길 53, 2층",,36.54746267,128.7244226,19,카니발+스타렉스,19,0,1899-7770,http://www.brmcall.co.kr,부름콜 이용자앱,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,3일,이용신청 현재 미납요금이 있는 경우+이동지원센터에 이용신청 없이 운전원에게 직접 연락하여 차량을 이용할 경우+승차할 때 운전원에게 신분증을 제시하지 않은 경우+차량 배차 후 본인 의사에 의해 1시간 이내 취소한 경우+차량 도착 후 10분 이내에 승차하지 아니한 경우,안동시 전 지역,경상북도+대구광역시,"장애의 정도가 심한 장애인으로서 대중교통 이용이 어려운 사람 (휠체어 장애인 우선) 및 동반가족, 보호자 2인 이내 ※ 보건복지부 고시[보행상 장애 표준,기준표] 적용 (장애인복지카드 사본 1부)+장기요양등급 1등급~4등급 (장기요양인정서 1부)+65세이상의 대중교통 이용이 어려운사람 (전문의 진단서 또는 소견서 1부)+일시적으로 휠체어를 이용하시는 사람으로 대중교통 이용이 어려운사람 (전문의 진단서 또는 소견서 1부)+장애인 탑승한 전동휠체어(스쿠터포함)이동중 고장시","관내지역: 기본요금(5km 이내) 1500원 외 1km 당 200원 추가(요금한도 시내버스 요금 2배 이내)+관외지역: 시외버스 요금의 2배(통행료, 주차비 별도 부담)",안동시시설관리공단,054-850-4750,2025-07-15,5070000,경상북도 안동시
동해시교통약자이동지원센터,"강원특별자치도 동해시 동해대로 5443, 1층 109호(평릉동)","강원특별자치도 동해시 평릉동 166-4, 1층 109호",37.52769453,129.1040173,14,카니발,13,1,1577-2014,call.gwd.go.kr,강원교통약자광역이동지원센터,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,7일(관외기준),,동해시,"강원특별자치도 타 시군, 서울특별시",1. 중증보행장애인으로서 대중교통 이용이 어려운 자2. 대중교통 이용이 어려운 노약자3. 진료를 목적으로 이용하는 임신 32주 이상 임산부4. 관련규정에 따른 보장구 이용대상자 및 일시적으로 휠체어를 이용하는 사람으로서 대중교통 이용이 어려운 자,기본 4km까지 1100원+4km 초과부터 km당 100원 추가+관외이동 시 대기료 및 도로통행료 별도,강원특별자치도 동해시청,033-521-0995,2025-07-18,4211000,강원특별자치도 동해시
진주시교통약자특별교통수단(일진교통),경상남도 진주시 내동면 순환로 425-34,경상남도 진주시 내동면 독산리 525-1,35.1642235,128.0651561,19,카니발,19,0,1566-4488,http://www.15664488.co.kr/,즉시콜,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,1일 전 21:00,,진주시 전역,경남 전역+부산지역 병원,장애 정도가 심한 장애인 중 보행상 장애가 있는 사람+65세 이상+임산부+영유아를 동반한 사람+일시적으로 휠체어를 이용하는 사람으로 대중교통수단의 이용이 어려운 사람+동반가족 및 보호자,진주시 관내 요금(기본요금 2km 이내 1100원+주행요금 2km 초과 286m당 100원 추가+시간요금 68초당 100원 추가)+관외지역(시외버스 요금의 1.5배),경상남도 진주시청,055-749-8027,2025-07-11,5310000,경상남도 진주시
진주시교통약자특별교통수단(동진택시),경상남도 진주시 선학산길 73,경상남도 진주시 하대동 395,35.18727147,128.1119228,19,카니발,19,0,1566-4488,http://www.15664488.co.kr/,즉시콜,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,1일 전 21:00,,진주시 전역,경남 전역+부산지역 병원,장애 정도가 심한 장애인 중 보행상 장애가 있는 사람+65세 이상+임산부+영유아를 동반한 사람+일시적으로 휠체어를 이용하는 사람으로 대중교통수단의 이용이 어려운 사람+동반가족 및 보호자,진주시 관내 요금(기본요금 2km 이내 1100원+주행요금 2km 초과 286m당 100원 추가+시간요금 68초당 100원 추가)+관외지역(시외버스 요금의 1.5배),경상남도 진주시청,055-749-8027,2025-07-11,5310000,경상남도 진주시
경남지체장애인협회 통영시지회,경상남도 통영시 북문2길 43-16,경상남도 통영시 정량동 162-5,34.84996554,128.4293738,20,그랜드스타렉스,19,1,1566-4488,해당없음,경남특별교통수단 앱,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,1일,,경상남도,부산광역시(의료 목적 시),보행상 중증장애 판정자+만65세이상의 자로서 장기요양등급 1~3등급 판정자+임산부+일시적 휠체어 이용자,기본요금 1600원+143m당 50원 추가 (최대 2600원),경상남도 통영시,055-650-5313,2025-07-08,5330000,경상남도 통영시
제주특별자치도 교통약자이동지원센터,제주특별자치도 제주시 한라대학로 15,,33.47976965,126.4736511,69,그랜드카니발+쏠라티,67,2,1899-6884,http://www.jejuhappycall.com/,,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,없음,,제주도내(도서지역 제외),,보행상의 장애인으로서 장애의 정도가 심한 장애인+65세 이상의 사람으로서 대중교통 이용이 어려운 사람+임산부ㆍ일시적으로 휠체어를 이용하는 사람으로서 대중교통수단의 이용이 어려운 사람,기본요금(10km 내) 1200원+거리요금 1km당 100원(30km까지)+거리요금 1km당 50원(31km부터). 요금상한제(최대) 4000원,제주특별자치도청 교통정책과,064-710-2416,2025-09-01,6500000,제주특별자치도
양주시교통약자이동지원센터,경기도 양주시 광적면 부흥로618번길 303,경기도 양주시 광적면 광석리 132,37.81249951,126.9723084,27,스타렉스+카니발,27,0,031-861-9977,해당없음,양주시 교통약자 스마트앱,07:00,23:00,07:00,23:00,00:00,23:59,00:00,23:59,이용예정일 2일전부터,,관내 전지역,공항+경기북부+서울(병원진료시)+도봉산역 환승센터+수락산역+구파발역,장애의 정도가 심한 장애인 중 보행상 장애인+65세 이상 대중교통 이용이 어려운 사람(진단서)+임산부(산모수첩) 등,(기본요금) 10Km이내 1200원+(거리요금)기본요금 외 10Km 초과 시 5Km마다 100원 추가+유료도로 및 주차요금 이용자 부담,경기도 양주시청 대중교통과,031-8082-6602,2025-09-12,5590000,경기도 양주시
안양시교통약자이동지원센터(착한수레),경기도 안양시 동안구 평촌대로 389,경기도 안양시 동안구 비산동 1023,37.40629131,126.9487366,42,카니발,42,0,031-389-5200,ggsts.gg.go.kr,경기도광역이동지원시스템,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,1일전,접수일 기준 30일내 6회이상 취소할 경우 7일간 차량이용 제한,안양,"서울, 인천 및 경기도 31개 시군","심한 장애인으로서 보행상 중증보행 장애인, 휠체어 이용자",10km이내 1500원 + 추가 5km당 100원 + 기타(주차비 등),안양도시공사,031-389-5363,2025-11-28,3830000,경기도 안양시
안산시 교통약자이동지원센터,경기도 안산시 단원구 화랑로 260,경기도 안산시 단원구 초지동 666,37.31947602,126.8164939,60,카니발,60,0,1666-0420,해당없음,경기도 교통약자 광역이동지원센터,08:00,19:00,09:00,00:00,00:00,23:59,00:00,23:59,없음,,전구간,수도권(서울+인천+경기),장애의 정도가 심한 보행상장애인+일시적휠체어이용자,기본 1500원(10km) 추가 5km 마다 100원,안산도시공사,031-8085-7497,2025-05-09,3930000,경기도 안산시
인천 교통약자 이동지원센터,인천광역시 미추홀구 매소홀로 618,인천광역시 미추홀구 문학동 482,37.4365452,126.6864606,256,카니발+스타리아,246,10,1577-0320,www.intis.or.kr,없음,00:01,23:59,00:01,23:59,00:01,23:59,00:01,23:59,2일,1일2회 취소+3일3회취소,인천광역시 전지역,강서구+김포+부천+시흥,보행상 장애를 가진 중증장애인+장애1~2급+3급 뇌병변+하지지체장애안+휠체어이용자,기본요금 2Km까지 1200원+2Km 초과 10Km까지 1Km당 200원 추가+10Km 초과 시 5Km당 300원,인천광역시,032-440-3803,2025-03-31,6280000,인천광역시
진안군교통약자이동지원센터,전북특별자치도 진안군 진안읍 관산2길 11,전북특별자치도 진안군 진안읍 군하리 91-1,35.790572,127.4251603,3,카니발,3,0,063-433-4222,https://www.0632270002.com,전북 광역이동지원센터 승객용 앱,09:00,17:00,09:00,17:00,08:00,20:00,09:00,18:00,전일 17:00까지,"차량 도착 후 취소한 경우+차량 도착 후 아무런 연락이 없이 10분 이상 이용하지 않는 경우+사전 예약 후 예약시간으로부터 1시간 이내에 예약을 취소한 경우+이용신청 없이 운전원과 직접 연락하여 차량을 이용한 경우+상담원, 운전원에 대하여 욕설, 폭언, 성적 희롱을 한 경우+방뇨, 오물투기 등 의도적으로 차량의 운행을 방해하는 경우+광역이동지원센테에 방문하여 무단으로 소란을 일으키거나 업무를 방해하는 경우+이용객과 동반할 목적이 아닌 비장애인을",진안군,제한없음,"장애의 정도가 “심한 장애인” 중 대중교통 이용이 어려운 자(보행상 장애인)+65세 이상으로 대중교통 이용이 어려운 자+대중교통 이용이 어려운 임산부, 일시적 휠체어 이용자+이용대상자를 동반하는 가족 및 보호자+타 지역 거주자(심한 장애인)이나 일시적 방문자(사전신청 접수시)",권역내 요금(기본요금 2km당 700원+주행요금 km당 100원(2천원 이상시 2천원))+권역외 요금(기본요금 2km당 700원+주행요금 700m당 100원)+통행료 및 주차료 등(이용자 부담)+대기료(권역외 30분당 2500원(1시간무료)+전북특별자치도외 30분당 2500원(2시간무료)),전북특별자치도 진안군청,063-430-2356,2025-04-28,4731000,전북특별자치도 진안군
서산시교통약자이동지원센터,"충청남도 서산시 안견로 252, 4층","충청남도 서산시 동문동 985-1 ,4층",36.77801054,126.4554934,14,스타렉스(2대)+카니발(12대),14,0,1644-5588,해당없음,충남 광역이동지원센터,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,"관내(즉시)+관외(이용일 기준 7일전 오전 10시~, 1일 2대 선착순 마감)","1. 차량도착 후 이용취소 하는 경우 또는 10분 이상 연락없이 대기하게 한 경우+2. 차량도착 후 연락없이 무단으로 승차하지 않은 때가 기간에 관계없이 3회 이상인 경우+3. 이용신청 없이 운전원과 직접 연락하여 이용하는 경우가 기간에 관계없이 3회 이상인 경우+4. 무임승차가 기간에 관계없이 3회 이상인 경우+5. 운전원 또는 상담원에게 폭행, 폭언, 성추행 등 비윤리적 행동을 하는 경우+6. 센터(광역, 시·군)에 방문하여 소란을 피우거나",서산관내 전부,"충청남도 및 대전광역시, 서울+인천+경기 대학병원",① 장애인복지법에 따른 중증보행장애인으로서 버스ㆍ지하철 등의 이용이 어려운 사람+② 대중교통의 이용이 어려운 65세 이상 노약자+③ 임산부+④ 일시적으로 보장구를 이용하는 등 대중교통수단을 이용하기 어려운 사람,1. 관내 2km 이내 기본료 1400원+관내 추가 요금 1km당 130원( 최대 요금 2800원)+2. 관외 기본요금 260원(1km)+추가 1km당 260원(대기료 30분당 2000원),"서산시 교통약자이동지원센터, 충남 광역 이동지원센터",041-665-1111,2025-05-16,4530000,충청남도 서산시
김천시교통약자이동지원센터,경상북도 김천시 매목1길 65,경상북도 김천시 응명동 212,36.1422231732,128.1322631454,13,카니발,13,0,1899-7770,www.brmcall.co.kr,,09:00,18:00,09:00,18:00,00:00,00:00,08:00,19:00,7일,중증보행장애인 외 관외 운행은 병원이용목적에 한함,김천시 전 지역,경상북도 내 김천시와 연접한 시군+대구광역시,휠체어 이용자+중증보행장애인+그밖에 특별교통수단이 필요하다고 인정되는 사람+위 해당하는 교통약자를 동반하는 가족 및 보호자,기본운임(2km 미만) : 1400원+2km이상~10km 미만 : 300원/km+10km 이상 : 100원/km+시외:시외버스 요금의 2배+유료도로 이용료 및 주차료는 이용자 부담,경상북도 김천시,054-420-6688,2025-04-29,5060000,경상북도 김천시
충주시특별교통수단이동지원센터(퇴근),충청북도 충주시 목행산단2로 18,충청북도 충주시 금릉동 206-37,37.00169614,127.9180329,29,스타렉스+카니발+대형버스,29,0,1533-0220,해당없음,충북광역교통약자,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,관내 1일+관외 3일,해당없음,충북 전역,원주+서울+여주+문경,"심한장애인 중 보행상 장애가 있는자+65세이상 휠체어 이용자(장기요양1,2등급자 및 휠체어 복지용구 제공받은자)+국가유공 상이1-2급",기본 5㎞ 1000원(추가 1㎞당 200원),충청북도 충주시 노인장애인과,043-850-6822,2025-05-31,4390000,충청북도 충주시
경기도 광명시 교통약자이동지원센터,경기도 광명시 범안로 966,,37.45727525,126.8723345,30,카니발+레이,30,0,1666-0420,https://ggsts.gg.go.kr/,경기도 광역이동지원서비스,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,없음,"다음 제한사항의 각 호에 해당할 경우 동기와 횟수 등을 참작하여 당일 이용제한 및 1개월의 범위 내에서 이용을 제한할 수 있다.+1. 휠체어 1대를 초과하여 승차를 요구할 경우(접었을 경우 2대 가능)+2. 휠체어 이용자 1인을 포함한 4인(비휠체어 이용시 3인) 초과 승차를 요구할 경우+3. 복지카드, 진단서 사본, 진료카드를 제시하지 않는 경우+4. 상담원 및 운전원의 정당한 요구 및 안내에 불응하는 경우+5. 상담원 및 운전원에게 욕설이나",광명시 전지역,수도권 전지역,"다음 제한사항의 각 호에 해당할 경우 동기와 횟수 등을 참작하여 당일 이용제한 및 1개월의 범위 내에서 이용을 제한할 수 있다.+1. 휠체어 1대를 초과하여 승차를 요구할 경우(접었을 경우 2대 가능)+2. 휠체어 이용자 1인을 포함한 4인(비휠체어 이용시 3인) 초과 승차를 요구할 경우+3. 복지카드, 진단서 사본, 진료카드를 제시하지 않는 경우+4. 상담원 및 운전원의 정당한 요구 및 안내에 불응하는 경우+5. 상담원 및 운전원에게 욕설이나 폭행을 하는 경우+6. 이동지원센터 및 특별교통수단의 기물을 손괴한 경우+7. 특정 차량 및 운전자의 지정을 요구하는 경우+8. 음주 후 이용하는 경우+9. 차량 출발이나 차량 도착 후 이용을 취소한 경우+10. 화물 운송 등의 목적으로 이용하는 경우+11. 이용대상자가 아닌 사람을 부정하게 이용할 수 있도록 돕거나 방치한 경우",(25.12월부터) 기본요금 1700원(10Km)+ 5Km 초과당 100원 추가+ 주차료는 이용자 부담(통행료 부담 X),광명도시공사,02-2610-2000,2025-12-08,3900000,경기도 광명시
보령시도로교통과,,충청남도 보령시 명천동 1022,36.34508656,126.6010488,10,카니발,7,3,041-933-3517,해당없음,,08:00,19:00,09:00,18:00,08:00,21:00,09:00,21:00,없음,없음,보령시,서울+천안+익산,보행상 장애인 중 심한장애인 및 일시적으로 보행이 어려운 자+65세 이상 노인 중 보행이 어려운 자,기본요금 2km까지 1600원+이후요금 160m당 130원,충청남도 보령시청,041-930-3961,2025-12-05,4510000,충청남도 보령시
